Year,Limit,No Environmental influence,With environment; No adaptation,Reduce Chick Mortality,+ Improve Juvenile Survival,+ Improve Chick Production,Delay 5 Years,Adult survival delay,Improve Adult Survival
1981,5500,2350.370098,2350.370098,2350.370098,2350.370098,2350.370098,2350.370098,2350.370098,2350.370098
1982,5500,2461.328777,2461.328777,2461.328777,2461.328777,2461.328777,2461.328777,2461.328777,2461.328777
1983,5500,2572.629937,2572.629937,2572.629937,2572.629937,2572.629937,2572.629937,2572.629937,2572.629937
1984,5500,2683.503903,2683.503903,2683.503903,2683.503903,2683.503903,2683.503903,2683.503903,2683.503903
1985,5500,2795.173401,2795.173401,2795.173401,2795.173401,2795.173401,2795.173401,2795.173401,2795.173401
1986,5500,2906.362608,2906.362608,2906.362608,2906.362608,2906.362608,2906.362608,2906.362608,2906.362608
1987,5500,3013.841615,3013.841615,3013.841615,3013.841615,3013.841615,3013.841615,3013.841615,3013.841615
1988,5500,3116.912541,3116.912541,3116.912541,3116.912541,3116.912541,3116.912541,3116.912541,3116.912541
1989,5500,3222.649789,3222.649789,3222.649789,3222.649789,3222.649789,3222.649789,3222.649789,3222.649789
1990,5500,3327.288279,3327.288279,3327.288279,3327.288279,3327.288279,3327.288279,3327.288279,3327.288279
1991,5500,3442.780673,3442.780673,3442.780673,3442.780673,3442.780673,3442.780673,3442.780673,3442.780673
1992,5500,3549.950416,3549.950416,3549.950416,3549.950416,3549.950416,3549.950416,3549.950416,3549.950416
1993,5500,3674.122464,3674.122464,3674.122464,3674.122464,3674.122464,3674.122464,3674.122464,3674.122464
1994,5500,3791.567782,3791.567782,3791.567782,3791.567782,3791.567782,3791.567782,3791.567782,3791.567782
1995,5500,3911.289743,3911.289743,3911.289743,3911.289743,3911.289743,3911.289743,3911.289743,3911.289743
1996,5500,4006.933867,4006.933867,4006.933867,4006.933867,4006.933867,4006.933867,4006.933867,4006.933867
1997,5500,4118.95286,4118.95286,4118.95286,4118.95286,4118.95286,4118.95286,4118.95286,4118.95286
1998,5500,4215.003463,4215.003463,4215.003463,4215.003463,4215.003463,4215.003463,4215.003463,4215.003463
1999,5500,4292.433783,4292.433783,4292.433783,4292.433783,4292.433783,4292.433783,4292.433783,4292.433783
2000,5500,4357.680408,4357.680408,4357.680408,4357.680408,4357.680408,4357.680408,4357.680408,4357.680408
2001,5500,4320.678281,4320.678281,4320.678281,4320.678281,4320.678281,4320.678281,4320.678281,4320.678281
2002,5500,4680.753763,4680.753763,4680.753763,4680.753763,4680.753763,4680.753763,4680.753763,4680.753763
2003,5500,4638.830373,4638.830373,4638.830373,4638.830373,4638.830373,4638.830373,4638.830373,4638.830373
2004,5500,4798.977484,4798.977484,4798.977484,4798.977484,4798.977484,4798.977484,4798.977484,4798.977484
2005,5500,4873.628005,4873.628005,4873.628005,4873.628005,4873.628005,4873.628005,4873.628005,4873.628005
2006,5500,4977.753431,4977.753431,4977.753431,4977.753431,4977.753431,4977.753431,4977.753431,4977.753431
2007,5500,4613.802477,4613.802477,4613.802477,4613.802477,4613.802477,4613.802477,4613.802477,4613.802477
2008,5500,4715.375892,4715.375892,4715.375892,4715.375892,4715.375892,4715.375892,4715.375892,4715.375892
2009,5500,4816.439852,4816.439852,4816.439852,4816.439852,4816.439852,4816.439852,4816.439852,4816.439852
2010,5500,5188.100815,5188.100815,5188.100815,5188.100815,5188.100815,5188.100815,5188.100815,5188.100815
2011,5500,5215.885729,5215.885729,5215.885729,5215.885729,5215.885729,5215.885729,5215.885729,5215.885729
2012,5500,5494.004203,5494.004203,5494.004203,5494.004203,5494.004203,5494.004203,5494.004203,5494.004203
2013,5500,5433.36106,5433.36106,5433.36106,5433.36106,5433.36106,5433.36106,5433.36106,5433.36106
2014,5500,4922.252948,4922.252948,4922.252948,4922.252948,4922.252948,4922.252948,4922.252948,4922.252948
2015,5500,4643.6332,4643.6332,4643.6332,4643.6332,4643.6332,4643.6332,4643.6332,4643.6332
2016,5500,4703.26296,4703.107126,4703.107126,4703.107126,4703.107126,4703.107126,4703.107126,4703.107126
2017,5500,4999.975036,4998.656426,4998.656426,4998.656426,4998.656426,4998.656426,4998.656426,4998.656426
2018,5500,5072.788451,5072.069347,5072.069347,5072.069347,5072.069347,5072.069347,5072.069347,5072.069347
2019,5500,5144.451919,5142.564231,5142.564231,5142.564231,5142.564231,5142.564231,5142.564231,5142.564231
2020,5500,5201.266484,5197.514086,5197.514086,5197.514086,5197.514086,5197.514086,5197.514086,5197.514086
2021,5500,5237.978038,5235.147712,5235.147712,5235.147712,5235.147712,5235.147712,5235.147712,5235.147712
2022,5500,5268.958034,5261.488601,5261.488601,5261.488601,5261.488601,5261.488601,5261.488601,5261.488601
2023,5500,5317.396267,5291.97757,5291.97757,5291.97757,5291.97757,5291.97757,5291.97757,5291.97757
2024,5500,5395.474786,5334.518091,5334.518091,5334.518091,5334.518091,5334.518091,5334.518091,5371.882232
2025,5500,5498.505526,5381.526688,5381.526688,5381.526688,5381.526688,5381.526688,5381.526688,5457.102103
2026,5500,5614.457177,5428.808025,5428.808025,5428.808025,5428.808025,5428.808025,5428.808025,5543.41298
2027,5500,5732.654205,5455.592969,5455.592969,5455.592969,5455.592969,5455.592969,5455.592969,5609.001819
2028,5500,5847.240059,5474.512231,5474.512231,5474.512231,5474.512231,5474.512231,5474.512231,5665.790953
2029,5500,5955.918817,5520.62182,5520.62182,5520.62182,5520.62182,5520.62182,5520.62182,5749.860448
2030,5500,6058.146013,5588.189812,5588.189812,5588.189812,5588.189812,5588.189812,5588.189812,5856.517218
2031,5500,6154.297086,5651.70686,5651.70686,5651.70686,5651.70686,5651.70686,5651.70686,5960.6244
2032,5500,6245.377062,5706.054033,5706.054033,5706.054033,5706.054033,5706.054033,5706.054033,6057.18735
2033,5500,6332.710871,5741.433005,5741.433005,5741.433005,5741.433005,5741.433005,5741.433005,6134.610632
2034,5500,6417.52598,5775.251933,5775.251933,5775.251933,5775.251933,5775.251933,5775.251933,6210.077504
2035,5500,6500.646406,5806.41818,5806.41818,5806.41818,5806.41818,5806.41818,5806.41818,6282.042811
2036,5500,6582.428623,5832.595458,5832.595458,5832.595458,5832.595458,5832.595458,5832.595458,6347.771357
2037,5500,6662.878999,5847.792079,5847.792079,5847.792079,5847.792079,5847.792079,5847.792079,6400.896449
2038,5500,6741.821085,5824.852942,5824.852942,5824.852942,5824.852942,5824.852942,5824.852942,6412.385016
2039,5500,6819.027066,5776.059351,5776.059351,5776.059351,5776.059351,5776.059351,5776.059351,6394.64561
2040,5500,6894.294521,5762.532821,5762.532821,5762.532821,5762.532821,5762.532821,5762.532821,6412.955489
2041,5500,6967.481654,5802.757486,5802.757486,5802.757486,5802.757486,5802.757486,5802.757486,6487.636705
2042,5500,7038.516098,5878.380326,5878.380326,5878.380326,5878.380326,5878.380326,5878.380326,6599.306781
2043,5500,7107.386727,5979.676342,5979.676342,5979.676342,5979.676342,5979.676342,5979.676342,6738.341082
2044,5500,7174.125823,6074.624161,6074.624161,6074.624161,6074.624161,6074.624161,6074.624161,6870.705313
2045,5500,7238.788928,6110.589808,6110.589808,6110.589808,6110.589808,6110.589808,6110.589808,6939.800998
2046,5500,7301.438272,6053.908972,6053.908972,6053.908972,6053.908972,6053.908972,6053.908972,6908.413509
2047,5500,7362.132519,5950.922409,5950.922409,5950.922409,5950.922409,5950.922409,5950.922409,6825.899985
2048,5500,7420.922558,5850.124559,5850.124559,5850.124559,5850.124559,5850.124559,5850.124559,6744.366471
2049,5500,7477.85148,5744.52126,5744.52126,5744.52126,5744.52126,5744.52126,5744.52126,6656.018871
2050,5500,7532.956688,5622.005711,5624.415228,5624.415228,5624.415228,5622.005711,5622.005711,6547.875628
2051,5500,7586.272602,5487.287718,5490.134267,5490.134267,5490.134267,5487.287718,5487.287718,6423.697601
2052,5500,7637.833036,5365.016804,5369.736509,5369.736509,5369.736509,5365.016804,5365.016804,6311.620143
2053,5500,7687.672813,5233.384661,5238.582193,5238.582193,5238.582193,5233.384661,5233.384661,6187.655503
2054,5500,7735.828559,5104.354533,5108.52585,5108.52585,5108.52585,5104.354533,5104.354533,6064.770056
2055,5500,7782.338813,5032.238201,5041.132784,5041.132784,5041.132784,5034.65789,5032.238201,6003.124456
2056,5500,7827.243701,5026.330434,5053.03267,5053.03267,5053.03267,5029.402103,5026.330434,6013.155146
2057,5500,7870.584427,5045.168155,5121.541296,5121.541296,5121.541296,5046.429139,5045.168155,6050.000209
2058,5500,7912.402738,5047.313318,5218.417701,5218.417701,5218.417701,5051.02037,5047.313318,6069.475673
2059,5500,7952.7405,4986.316236,5274.392809,5274.392809,5274.392809,4989.182358,5021.195474,6018.524156
2060,5500,7991.63939,4880.804324,5292.189572,5292.189572,5292.189572,4888.377119,4949.327946,5917.70131
2061,5500,8029.140706,4752.497459,5268.710723,5268.710723,5268.710723,4781.098422,4852.791529,5790.862228
2062,5500,8065.285271,4629.634267,5236.871032,5236.871032,5236.871032,4719.027952,4759.787877,5668.05638
2063,5500,8100.113384,4538.52523,5239.097462,5239.097462,5239.097462,4732.192074,4697.641481,5579.75322
2064,5500,8133.664797,4455.021889,5243.628745,5243.628745,5243.628745,4765.683511,4642.157439,5499.363901
2065,5500,8165.978701,4357.648451,5219.19901,5219.19901,5219.19901,4772.009095,4571.331333,5402.838209
2066,5500,8197.093695,4241.052671,5159.747671,5168.772327,5168.772327,4739.78725,4479.354295,5283.592517
2067,5500,8227.047764,4119.388451,5087.517079,5155.598205,5155.598205,4689.655721,4380.909578,5157.480853
2068,5500,8255.878236,4015.553307,5035.909228,5258.214228,5258.214228,4655.702709,4300.193701,5050.217738
2069,5500,8283.621748,3924.352044,4987.947981,5418.246235,5418.246235,4622.483299,4231.806445,4956.860747
2070,5500,8310.314208,3817.661624,4899.429465,5488.504682,5488.504682,4547.688392,4145.4654,4846.190996
2071,5500,8335.99076,3677.505011,4753.436659,5438.871403,5438.871403,4419.662243,4021.112895,4695.412346
2072,5500,8360.685765,3532.918308,4621.0633,5403.969105,5403.969105,4325.845777,3889.90669,4537.92263
2073,5500,8384.432772,3394.70526,4524.877735,5455.615734,5455.615734,4324.555546,3763.619396,4385.338234
2074,5500,8407.26451,3268.702847,4461.330251,5570.850604,5570.850604,4419.507709,3648.865439,4245.260577
2075,5500,8429.212877,3150.665068,4393.980283,5658.770581,5658.770581,4526.354021,3541.147975,4113.838844
2076,5500,8450.308934,3043.266406,4310.701347,5700.715069,5700.715069,4610.193064,3443.322129,3994.325217
2077,5500,8470.582903,2965.805033,4254.671262,5799.327377,5799.327377,4752.617752,3377.052148,3909.754205
2078,5500,8490.064171,2906.813857,4220.007312,5946.17405,5946.17405,4939.540995,3330.295109,3846.705758
2079,5500,8508.781287,2834.355906,4162.715272,6023.597604,6023.597604,5055.918919,3267.792383,3767.39257
2080,5500,8526.761975,2738.492919,4065.024068,5986.340743,5986.340743,5058.379306,3178.041142,3659.526325
2081,5500,8544.033135,2627.004299,3934.789605,5858.170325,5858.170325,4969.768638,3069.312386,3531.993771
2082,5500,8560.620854,2517.30897,3808.846725,5724.670579,5724.670579,4871.632471,2961.212307,3405.851752
2083,5500,8576.550415,2406.713876,3680.455232,5587.74418,5587.74418,4769.662616,2850.444097,3276.923436
2084,5500,8591.84631,2300.885453,3554.261709,5441.330742,5441.330742,4657.414196,2743.767492,3153.035038
2085,5500,8606.532252,2198.058224,3421.01959,5266.602635,5267.091741,4517.141137,2639.229508,3032.131208
2086,5500,8620.631186,2096.927152,3276.977836,5059.35112,5062.453751,4344.48195,2535.295351,2912.383798
2087,5500,8634.165307,2001.190945,3134.184038,4853.047005,4860.628813,4170.708726,2436.289305,2798.332584
2088,5500,8647.156073,1922.620882,3023.555137,4739.637872,4751.136173,4082.0743,2356.055804,2704.719185
2089,5500,8659.624223,1872.760463,2973.833414,4808.765181,4823.851168,4162.788612,2308.527778,2646.386056
2090,5500,8671.589788,1840.684365,2962.756545,4988.913218,5008.754961,4346.710845,2281.476594,2610.223189
2091,5500,8683.072114,1800.968116,2938.181916,5105.543283,5133.925332,4470.800249,2245.123082,2564.424978
2092,5500,8694.089876,1742.622459,2878.971692,5104.719508,5189.07303,4493.531899,2185.904703,2494.178497
2093,5500,8704.661094,1673.49966,2799.089433,5023.864605,5241.634528,4440.319027,2112.932491,2409.400646
2094,5500,8714.803152,1600.274846,2701.338376,4881.124571,5322.952857,4327.254731,2034.127199,2318.747067
2095,5500,8724.532815,1527.256452,2591.284275,4697.438208,5421.660784,4172.968947,1954.669745,2227.809122
2096,5500,8733.866244,1456.746463,2477.970211,4500.481748,5517.146294,4001.395256,1877.3375,2139.480915
2097,5500,8742.819019,1391.998374,2377.945894,4340.926746,5596.796664,3854.293021,1806.078961,2057.816162
2098,5500,8751.406147,1335.961378,2305.769797,4264.116888,5671.964392,3787.553406,1744.580605,1986.608285
2099,5500,8759.64209,1286.066619,2251.623978,4238.163467,5746.09308,3829.817803,1689.914296,1922.795154
2100,5500,8767.540772,1235.741432,2188.334677,4175.828341,5820.558222,3953.465126,1634.159744,1858.134096
2101,5500,8775.115601,1183.009461,2107.943368,4051.811872,5894.653642,4112.829361,1574.848869,1790.049128
2102,5500,8782.379485,1129.283053,2016.720775,3886.606814,5963.279788,4273.225541,1513.658663,1720.271801
